OBJECTID,name,address,longitude,latitude,type
192,汤圆混沌店,广西北路436号(人民广场地铁站19号口步行430米),121.476772,31.236339,餐饮服务
193,中国人寿财产保险股份有限公司上海市黄浦支公司,北京东路398号3层(南京东路地铁站6号口步行340米),121.482294,31.24037,金融保险服务
194,悦顿电子烟,天津路321号(南京东路地铁站1号口步行380米),121.480233,31.237065,购物服务
195,南京东路街道助餐点(人安里店),牯岭路139号(新闸路地铁站6号口步行340米),121.471261,31.235996,餐饮服务
196,上海速达管道疏通服务有限公司,温州路30号(新闸路地铁站6号口步行170米),121.470387,31.236995,公司企业
197,筋斗云科技,南苏州路381号4楼(南京东路地铁站6号口步行310米),121.483525,31.241703,公司企业
198,KiraKira二次元JK桌游电玩,六合路98号港陆黄浦中心1栋,121.475016,31.236653,体育休闲服务
199,六宫针灸丰胸减肥视力康复(贵州路店),云南北路59号1012室(六合大厦),121.474807,31.237218,生活服务
200,NATIONAL GEOGRAPHIC(华联商厦南京东路店),南京东路340号华联商厦(南京东路店)F1,121.483305,31.237154,购物服务
201,PITERA DISCOVERY(新世界城店),南京西路2新世界城L1层(人民广场地铁站7号口步行60米),121.473663,31.234938,餐饮服务
202,驴肉火烧·疙瘩汤·焖面(南京东路店),牛庄路713号,121.476604,31.23743,餐饮服务
203,瑞思迈呼吸机官方自营旗舰店,浙江中路398号-400号春申江大厦510室,121.478097,31.236265,医疗保健服务
204,XCOT明天,南京东路800号6层03-06309,121.475121,31.235777,科教文化服务
205,CASA FERRARI(上海苏河湾万象天地店),福建北路100号上海苏河湾万象天地F1层,121.48026,31.241704,购物服务
206,全季酒店上海人民广场店立体停车点,全季酒店(人民广场地铁站19号口步行330米),121.474585,31.236393,交通设施服务
207,全季酒店上海人民广场店立体停车点(出入口),全季酒店上海人民广场店立体停车点,121.47458,31.236331,交通设施服务
208,江都城经典酒店,山西南路与天津路交叉口东南20米,121.482146,31.237683,住宿服务
209,上海市规划和国土资源管理局行政服务中心,北京西路房地大厦(新闸路地铁站6号口步行360米),121.471761,31.236599,政府机构及社会团体
210,安利(银河公寓店),山东北路83号银河公寓F3层,121.481989,31.240365,购物服务
211,特别红剧场,国庆路与西藏北路辅路交叉口西南60米,121.471417,31.240265,体育休闲服务
212,贵州遵义羊肉粉(人民广场店),贵州路138号,121.476217,31.236582,餐饮服务
213,子龙炒饭(浙江中路店),浙江中路477号,121.4772,31.23761,餐饮服务
214,timhortons(永新广场店),南京西路128号永新广场B1层,121.47233,31.234005,购物服务
215,无锡路社区,黄浦区,121.48062,31.239017,地名地址信息
216,KiraKira美少女主题乐园,北京东路368号(南京东路地铁站6口步行230米),121.483315,31.240471,体育休闲服务
217,上海市第一百货商店-大上海电影院售票处,南京东路830号上海市第一百货商店F1,121.474393,31.236036,生活服务
218,海斐五金(满春坊店),天津路满春坊(南京东路地铁站1号口步行330米),121.480603,31.237395,购物服务
219,上海良品铺子礼品团购公司,山西南路350号上海物资大厦F17层,121.481795,31.239613,公司企业
220,南京东路地段医院,北京西路与长沙路交叉口西约60米,121.471307,31.236818,医疗保健服务
221,大肆撸串(人民广场店),"西藏中路500号1楼(全家旁,思源大厦)",121.474381,31.236599,餐饮服务
222,禛容电子科技(上海)有限公司,北京东路668号赛格电子市场C326室,121.478255,31.23912,公司企业
223,老朴家铁锅炖(南京东路店),天津路148号(南京东路地铁站5号口步行100米),121.483411,31.23832,餐饮服务
224,人社综合服务窗口(黄浦区外滩街道社区事务受理服务中心),河南中路568号(南京东路地铁站6号口步行120米),121.484129,31.240054,政府机构及社会团体
225,雅居乐国际广场地下停车场(出口),西藏中路525号雅居乐国际广场B1,121.473066,31.236642,交通设施服务
226,雅居乐国际广场地下停车场,西藏中路525号雅居乐国际广场B1,121.472695,31.236355,交通设施服务
227,东银大厦停车场,牛庄路658号东银大厦,121.477581,31.238531,交通设施服务
228,东银大厦内部地下停车场,牛庄路658号东银大厦,121.477428,31.237791,交通设施服务
229,东银大厦内部地下停车场(入口),牛庄路与浙江中路交叉口东40米,121.477432,31.237787,交通设施服务
230,联畅生鲜超市(永亨大楼店),宁波路266号永亨大楼F1层,121.482099,31.238887,购物服务
231,上海房建公寓段天津路宿舍,天津路423号,121.478384,31.236504,商务住宅
232,甘露茶院(华隆大厦店),南苏州路333号华隆大厦F1层,121.48396,31.242117,餐饮服务
233,OK猩猩女性训练馆,山西北路98号(天潼路地铁站5口步行300米),121.480468,31.242469,体育休闲服务
234,纵恩ZONE篮球训练营(新世界城店),南京西路2新世界城L6层(人民广场地铁站7号口步行60米),121.473634,31.235132,体育休闲服务
235,公共厕所,福建中路上海科技京城,121.478671,31.239709,公共设施
236,河南财经政法大学上海校友会,江西中路421号(南京东路地铁站6号口步行340米),121.485096,31.241284,政府机构及社会团体
237,Lulutilu露露提鹿桌游剧本轰趴俱乐部(第一百货店),南京东路830号第一百货商业中心A馆F8层,121.474813,31.235408,体育休闲服务
238,思源商厦立体停车场(出入口),西藏中路500号思源商厦立体停车场,121.474663,31.236504,交通设施服务
239,思源商厦立体停车场,西藏中路500号(人民广场地铁站19号口步行330米),121.474545,31.236462,交通设施服务
240,南京东路街道第三网格工作站,厦门路144号,121.475631,31.239649,政府机构及社会团体
241,燕轩图文快印,牯岭路167号(近黄河路)(新闸路地铁站6号口步行300米),121.470724,31.235813,生活服务
242,110接处警停车场,上海市黄浦区山西南路161号,121.482401,31.236965,交通设施服务
243,苗苗俱乐部,南京西路150号苗苗俱乐部,121.47179,31.23387,体育休闲服务
244,宁波路幼儿园(分部),宁波路120弄8号(河南中路宁波路),121.484675,31.23968,科教文化服务
245,黄浦区第四征收事务所,南苏州路935号,121.474201,31.24081,政府机构及社会团体
246,春申江大厦地下停车场,浙江中路400号春申江大厦,121.478012,31.23612,交通设施服务
247,春申江大厦地下停车场(入口),浙江中路与香粉弄交叉口北20米,121.478039,31.236117,交通设施服务
248,春申江大厦地下停车场(出口),浙江中路400号春申江大厦停车库内,121.478243,31.236484,交通设施服务
249,第一百货商业中心-男洗手间,南京东路800-830号(近西藏中路)第一百货商业中心F5,121.475011,31.235452,公共设施
250,御饼家·百年胡椒饼(南京东路总店),天津路159号,121.48322,31.238072,餐饮服务
251,云腾过桥米线(南京路步行街店),宁波路上海南新雅皇冠假日酒店西北侧约190米,121.475897,31.236434,餐饮服务
252,航华二村二街坊43号楼,新世界大丸百货上海市黄浦区南京东路228号F4,121.484539,31.237332,地名地址信息
253,步步高(新世界城店),南京西路2-88号新世界城F8,121.473353,31.23528,购物服务
254,中国福利彩票(滇池小区店),江西中路374号滇池小区(南京东路地铁站6号口步行230米),121.485799,31.240199,生活服务
255,大骨牛肉汤,贵州路121号(人民广场地铁站19号口步行400米),121.4761,31.23627,餐饮服务
256,ESQ(新世界城店),南京西路2-68号新世界城L2层(人民广场地铁站7号口旁),121.473643,31.235084,餐饮服务
257,上海市水利管理事务中心,南苏州路333号(南京东路地铁站6号口步行410米),121.483965,31.241959,政府机构及社会团体
258,上海市排水管理事务中心,厦门路180号,121.47484,31.239509,政府机构及社会团体
259,老娘舅(上海西藏中路思源商厦店),淮海中路417号负一层20号铺老娘舅,121.474176,31.236357,餐饮服务
260,母婴室(恒基名人购物中心),南京东路300号恒基名人购物中心L3层,121.484283,31.238179,公共设施
261,东银大厦停车场(入口),东银大厦停车场,121.477472,31.237857,交通设施服务
262,东银大厦停车场(出入口),东银大厦停车场,121.477656,31.238572,交通设施服务
263,宁波路社区,黄浦区,121.484612,31.240127,地名地址信息
264,THE PEOPLE 餐吧(大悦城四行店),光复路9号四行仓库沿街一楼(曲阜路地铁站3号口步行290米),121.471179,31.240159,餐饮服务
265,科技京城东楼国信证卷交易大厅,北京东路668号上海科技京城东楼,121.478487,31.239297,政府机构及社会团体
266,上海新能源中心,北京东路668号北京东路东楼F5层,121.478439,31.239335,公司企业
267,上海市第一百货商店南京东路店地下停车场(出口),六合路与宁波路交叉口东南20米,121.474898,31.236249,交通设施服务
268,上海市第一百货商店南京东路店地下停车场(入口),南京东路830号第一百货商业中心B2,121.475335,31.236329,交通设施服务
269,上海市第一百货商店南京东路店地下停车场,宁波路与云南北路交叉口南20米,121.475271,31.236202,交通设施服务
